comment_id,youtube_id,username,comment,rule_sentiment,rule_sentiment_updated,date (month ago),crawl date,anggaran tarikh komen crawl - date,,
C011,V001,@AbdulAziz-kq2rq,"Good job, t. Kasih kerana kerana jaga Malaysia....",Positive,Positive,3,10/7/2025,,,Analisis profile x sentimen (%) -  pie chart
C012,V001,@johor-01,"Well done DS RR , well done Madani ?",Negative,Neutral,3,10/7/2025,,,
C013,V001,@hafiz4-9-92,Formula Mat Jargon : Cetak Wang.. ??,Negative,Neutral,3,10/7/2025,,,
C014,V001,@ZairulazlanZairulazlan,????????,Negative,Neutral,3,10/7/2025,,,
C015,V001,@aweira,Salam tn. Tolong percepatkan gaji baru untuk pekerja Kontrak kerajaan. Sy sebagai pakguard. Gaji tak naik lagi ?? untuk bulan Februari,Positive,Neutral,3,10/7/2025,,,
C016,V001,@h6-.,Ini saya nak cakap TOLONG ketengahkan isu ah long ni berapa ramai yang jadi mangsa,Negative,Neutral,3,10/7/2025,,,
C017,V001,@FauziBapak_Official-ep7su,Kenapa dalam seminggu tak cecah 100k subscriber... Selalunya klau popular senang dapat...pmx pun susah nak cecah 100k subscriber.,Negative,Neutral,3,10/7/2025,,,
C018,V001,@smanYaman,Terbaik YB Rafizi. TERUSKAN BUAT KERJA PEDULIKAN CAKAP SI PEMBANGKANG,Positive,Positive,3,10/7/2025,,,
C019,V001,@faridahyusuf4658,Macang tak bijaksana sebab tu ..PN pasal ekonomi teruk masa dl. Kerajaan macam mana rakyat macang pilih dia,Negative,Negative,3,10/7/2025,,,
C020,V001,@DhaniRealme-l9y,Matap rawizi,Positive,Positive,3,10/7/2025,,,
C021,V001,@JohannesburgMariBaca350,"Kenapa JKM sukar untuk beri bantuan kewangan ? Walhal sesetengah pesakit itu dah tak berdaya untuk bekerja. Seolah-olah memaksa kami untuk terus bekerja dan berhadapan orang ramai sehingga boleh membawa maut kepada diri sendir serta kemalangan. Golongan berpenyakit mental tidak dibela. Buli di tempat kerja, syarikat tak nak bayar gaji. Pekerja asing yang naik kepala dan mencari masalah. Mat rempit di kawasan rumah. Banyak masalah dihadapi rakyat.",Positive,Positive,3,10/7/2025,,,
C022,V001,@awanbiru-xb5dy,Ada sesiapa tahu tak address pejabat YB Rafizi? Sebab nak hantar kad raya. TQ,Positive,Positive,3,10/7/2025,,,
C023,V001,@karimismail2430,Mat jargon mundur patut banghang,Negative,Negative,3,10/7/2025,,,
C024,V001,@shairabanu7918,"Maff nk tanya gaji sekarang di tetapkan kerajaan Malaysia untuk org awam seperti cashier rm1700 tapi cuti seminggu sekali .makna setiap minggu 1 kali di tetapkan.tapi restaurant setenga restaurant bagi (gaji rm 1700.seperti di tetapkanok lah Alhamdulillah)(time kerja 8 jam sehari tidak seprti di janjikan 7.1/2) dan saya tak puas hati ,sakit hati (1 bulan hanya cuti 1 kali sahaja) tolong pantau restaurant begini menyebabkan sakit mental jadinya nk berhenti kerja tak mampu cari kerja lain jadi terpaksa ... tolong lh pantau restaurant begini ambil tindakan sewajarnya saya merayu mintak tolong.",Positive,Neutral,2,10/7/2025,,,
C025,V001,@MadJaafar,Handle bro nak drive laÖterima kasih,Positive,Neutral,3,10/7/2025,,,
C026,V001,@Sulaimanbujang-ph3kb,"Sekrg bru kau tau bilo dh jdi menteri,dulu kau kutok umno bn tk pandai urus kerajaan sekrg apo mcm kau ingat kau tu bagus sgt ko.tk usah nk sembanglh",Negative,Negative,3,10/7/2025,,,
C027,V001,@mrgod5139,Pandai tapi tak de rambut ??,Negative,Negative,3,10/7/2025,,,
C028,V001,@nizamnizam717,Naik gaji apanya kami ni kerja pon tak ada.bertahun dah menganggur ni.hidup miskin pon tak dapat apa apa bantuan.,Negative,Negative,3,10/7/2025,,,
C029,V001,@Saninali-rr5fu,tajuk apa ni kotak2 semua.. yt edit ke,Negative,Neutral,3,10/7/2025,,,
C030,V001,@sunnur649,Cakap memang pandai buat kerja macam haramjaddah....,Negative,Negative,3,10/7/2025,,,
C031,V001,@nurizham,"Ikut formula dia senang... tak ada duit cetak ajelah duit... Jumlah hutang negara terlalu tinggi, duit kerajaan banyak habis nak bayar hutang... bila orang tanya bagaimana nak menyelesaikan masalah hutang negara yang tinggi, dia jawab ""hutang wajib dibayar..."" Contoh formula-formula terbaik PN...",Negative,Neutral,3,10/7/2025,,,
C032,V002,@lepakbrawlstars4840,The maharaja parti sudah plan awal2 dah ! RR tetap kalah sebab the maharaja dlm parti sudah plan pun . Dengar cakap RR ..1:00:46 kalau nak kerat saya cakap la ..depan cakap lain sana cakap lain belakang cakap lain atur lain !,Negative,Neutral,1,10/7/2025,,,
C033,V002,@shamsulk2587,Kesilapan besar PKR adalah izzah,Negative,Neutral,1,10/7/2025,,,
C034,V002,@sitinorainiabdulaziz3739,Bakal PM satu hari nanti,Positive,Positive,1,10/7/2025,,,
C035,V002,@razaliabhamid3194,PKR akan hadapi kejatuhan sokongan dari rakyat selepas ini.Apabila RR disettingkan untuk kalah dalam pemilihan ini.Kejatuhan ini akan bermula sekarang Dan kesan besar akan terjadi pada PRU 16 nanti.,Negative,Neutral,1,10/7/2025,,,
C036,V002,@malarjmmalar2820,I rindu a stern brilliant nd awesome leadership lik RR ..,Positive,Positive,1,10/7/2025,,,
C037,V002,@fahrurazial-linggi5308,Rafizi terbaik,Positive,Positive,1,10/7/2025,,,
C038,V002,@irmemerang7842,Semoga Allah merahmati saudara Rafizi..semoga Allah merahmati kita semua..Dirgahayu,Positive,Positive,1,10/7/2025,,,
C039,V002,@ahmadnorazlie9250,Pada saya sahabat sahabat yg suruh tubuh parti baru langkah ini bukan satu yg bijak utk jangka panjang. Sebab lagi byk parti lagi byk puak lagi banyak pecah dan devide. Tidak ada unity especially Melayu. Cuba tgk pecahan parti ikut komposisi kaum. Korang akan nampak mcmana kesepaduan kita. Cadangan join sahaja parti mana yg dah ada. Sebab tubuh parti baru juga nampak mcm nak berkuasa sgt bukan lebih kepada perjuangan utk rakyat dan negara,Positive,Positive,1,10/7/2025,,,
C040,V002,@Vertagos,"RR bagi semua efforts sampai hari ni kita rakyat tengok. Nurul hmm i tak tengok la. Ada la tapi sangat sikit. Takpa rakyat pun dah tengok, ibu bapak tua saya pun dah tengok.",Negative,Neutral,1,10/7/2025,,,
C041,V002,@leniceang,Saya sokong Raf,Positive,Positive,1,10/7/2025,,,
C042,V002,@tayglory6677,"POLITIC IS CRUEL , KEJAM .",Negative,Negative,1,10/7/2025,,,
C043,V002,@jnuchan,Sian rr tapi ini la Dunia politik xde sape khianat sape pon.. janji rr be strong come back stronger I support u,Positive,Positive,1,10/7/2025,,,
C044,V002,@lenovoa7215,Lau klh tubuh parti baru Shj bohhhhhh,Negative,Neutral,1,10/7/2025,,,
C045,V002,@LiusAnthony,Izzah ditunggang oleh team AMIRUDDIN budak Jemin Sikitul mastermind semua ini,Negative,Neutral,1,10/7/2025,,,
C046,V002,@rozaiaw2308,"Kepada penyokong2 DS Rafizi yang bukan ahli PKR, selepas ini bolehlah mendaftar segera menjadi ahli, semoga ada rezeki umur panjang boleh menberi undi untuk YB Rafizi dan team 4 tahun dari sekarang. Segalanya bermula dari ahli biasa, jangan hanya memberi sokongan dan kata2 yang berdegar2 tanpa menyumbang undi.",Positive,Positive,1,10/7/2025,,,
C047,V002,@LawrenceBujang-s2f,Sistem pemilihan dan penipuan pemilihan party PKR...Sila buat report laporan kepada ROS registrar of Society Malaysia...Sila tunjukkan bukti fakta....(??),Negative,Neutral,1,10/7/2025,,,
C048,V002,@bakarbakar8674,"Tiada RR pkr akan ke longkang di pru 16 bawah izzah nanti , izzah lawan pas yang tiada apa2 pun kalah . puteri membuat pkr kalah selama nya .",Negative,Negative,1,10/7/2025,,,
C049,V002,@udanis66,"RR the best. Dia lah yang paling layak pengganti DSAI dalam keadilan. Dia tak gila kuasa. Dia hanya perjuangkan keadilan dan kebenaran, Dah lah tu, bijak giler. Tetapi demi nak lawan perjuangannya itu, dia terpaksa keras bersuara sebab manusia ni cepat lupa diri. Selalu terpesong dari jalan asal perjuangan. Namun biasalah... manusia kan? Kena tegur sikit, terus sentap. Lepas tu, mulalah keluar semua akal fikiran jahat nak kenakan balik pada orang yang menegur dia. Tanya diri kita sendiri lah.... Adakah anda sanggup ditegur???? Bukan semua sanggup di tegur. Kalau 10, aku rasa 3 aje yang sanggup rendah hati untuk terima teguran. Selebihnya tu, memang akan melawan punya. Dia lah sahaja yang betul dalam dunia ni. Tak boleh tegur. Aku pun sama macam tu jugak. Tetapi walaupun aku nak menegakkan prinsip dan pendapat aku, aku masih berfikiran terbuka, Jika dia lebih betul dan mampu tewaskan semua argumen aku maka aku mampu menerima pandagan dah teguran dia. Kita boleh mempertahankan pandangan kita tetapi kena open minded sikit. Jika orang lain lebih betul dari kita maka kena terima. Jangan jadi sombong sangat. Jangan taksub sangat. Dan jangan jadi jahil kerana kerana kesombongan kita tersebut. Aku yakin pada RR daripada semua pemimpin2 dalam PKR. Aku faham psikologi orang maka aku kenal RR ni. Dia nampak macam lembut tetapi kata kata dia memang pedih. Kalau hati tisu, memang koyak punya. Dia tak macam DSAI yang bijak bersiasah dalam politik. RR ni jenis terus terang. Kau koyak, kau punya pasal. Tetapi dia cakap yang betul. Hanya mungkin cara dia cakap tu, pedih sikit. Kena tahan ditegur dia demi kebaikan. Orang melayu ni sensitif. Kalau orang Arab, mereka biasa aje kena tegur macam tu. Kalau korang hati tisu dudk kat Arab sana, memang hari2 kena koyak lah. Orang Arab sound depan2 dan tak peduli pasal hati kamu. Janji dia cakap apa dia rasa betul. Depan orang ramai pun, dia hentak kau depan2. So, RR ni jenis macam tu. Sebab dalam hadis Nabi, berapa kali kita dengar orang Arab tak berlaku sopan kat Nabi. Nabi tu.... Dia sanggup sentap dan cekak baju Nabi. Ada yang sound Nabi depan2 minta hak dia. Kita berani ke nak buat macam tu kat Nabi? Nak angkat suara pun, tak berani. Tetapi Nabi ni berjiwa sangat besar.. Dia sabar dan layan depa dengan sopan dan lembut. So, orang melayu, kalau nak majukan diri kita, kena teguh sikit jiwa tu. Bersikap waja. Tahan lah sikit kena tegur jika perkara tu dah memang benar dan betul. Jangan koyak cepat sangat. Bagi aku, RR ni mungkin tak sesuai untuk jadi PM sebab dia terlalu straight forward guy. Jadi PM perlukan orang macam DSAI - Tak terlalu bijak macam RR. Tidak terlalu straight forward. Tetapi tahu mendendangkan lagu mengikut setiap irama yang didendangkan supaya sentiasa sedap didengar. Itu lah DSAI. RR ni, kalau jadi Menteri Kewangan... Paling best. Korang nak rasuah, nak tipu , nak sakau.. memang tak boleh lah. Ingat tak bagaimana Kelantan minta peruntukan loji air sebanyak lebih RM8 billion pada tahun 2023? Last2 pi jumpa RR, kos sebenar hanya 1.3 billion aje. Semua mark up harga. Balik Kelantan macam tu aje... Gila, nak sakau sampai 7 billion? Gila ke, apa? Itulah RR. Jangan main2 dengan dia. Setakat Pak Lebai nak kelentong dia pasal duit dan eknonomi, dalam poket dia aje.... Hahahaha.",Positive,Neutral,1,10/7/2025,,,
C050,V002,@GoodBoy-np2ip,Hiruk Pikuk Terbaik..from Borneo,Positive,Neutral,1,10/7/2025,,,
C051,V002,@huzaihuzai104,Kalau RR kalah.. Rafizi harus tubuh parti baru utk bengandigan dgn KJ di pru16 nnti????,Positive,Positive,1,10/7/2025,,,
C052,V002,@Chimchi1,"Kekal sokong RR, dimana beliau pi. Tiada sesiapa pun yg setaraf RR dalam PKR. Apa yg dinasti keluarga dan penjilat2 ni buat untuk merampas kuasa dan bantaikan org, amat menjijitkan. Jasa RR membina parti demi rakyat kami menghargai walaupun penghianat2 tu tidak.",Negative,Negative,1,10/7/2025,,,
C053,V002,@DurinMan-i8q,Dsrr yg terbaik UTK berganding dgn anuar fikir fikir lah perwakilan pati,Positive,Neutral,1,10/7/2025,,,
C054,V002,@MerongIskandar-f5h,Rr jika anda berada di pihak yang benar...pertahankan yusuf rawter...bantu dia...dan rakyat akan bersama kamu dimana tunjukkan maksud sebenar parti keadilan rakyat dan bukan hnYa parti untuk seorg insan yang bernama anuar Ibrahim,Positive,Neutral,1,10/7/2025,,,
C055,V002,@ruswadimattaher9880,lawan tetap lawan,Positive,Neutral,1,10/7/2025,,,
C056,V002,@rasharis9230,Siapa lagi yg akan mempertahankan parti seperti RR yg HIRUK itulah perjuangan sebenar.reformasi,Positive,Neutral,1,10/7/2025,,,
C057,V002,@benleong7068,Pembangkang sudah nampak sinaran. Peluang besar untuk memenangi PRU yang akan datang.,Positive,Positive,1,10/7/2025,,,
C058,V002,@kemahkeming75,"dunia politik..gelanggang game of thrones..merebut takhta, takhta kekuasaan..keputusan pun dh keluar..nanti kepimpinan baru akan dinilai prestasi & sumbangan masing2..sehingga pemilihan yg seterusnya",Positive,Neutral,0.25,10/7/2025,,,
C059,V002,@BadBoy-mn9rt,Cuba dtg bertanding tmpat ramai melayu nak tgk menang ke tak,Negative,Negative,1,10/7/2025,,,
C060,V002,@Shaharudin67,"Tu Rafizi dah cakap depa dah bincang dah sapa yang nak pegang jawatan, betul lah macam tu.kita kalau nak buat apa-apa pun perlu bincang dahulu.dah dalam perbincangan tak menyebelahi rr sebab itu dia tak puas hati ????????",Positive,Neutral,1,10/7/2025,,,
C061,V002,@DurinMan-i8q,Bagus lah keadilan pati anak beranak anuar dan Izah tambah lagi isteri azizah,Negative,Neutral,1,10/7/2025,,,
C062,V002,@huzaihuzai104,PKR perlukn RR utk lead pru16 nnti...,Positive,Positive,1,10/7/2025,,,
C063,V003,@JaneLow-m5u,Demokrasi mempunyai kebebasan bersuara dan apa salah kalau rakyat cuba sampaikan apa sekali message kpd KERAJAAN ? PMX sendiri tak lakukan pembakaran buku2 TAR semasa diUM ? Kalau dulu PMX buat tak dihukum dan dipenjarakan kenapa sekarang sampai dia sendiri sebagai pentakbir nak hukum mereka yg memberi pandangan dan kritik terhadap PMX atau KERAJAAN ? TERIMA KASIH KPD TENGKU MAIMUN CJ telah membetulkan PAA yg telah disalahgunakan olih kerajaan terdahulu.,Positive,Positive,0.46,10/7/2025,,,
C064,V003,@mohdridzuwan9052,"Bebas bersuara bukannya bodoh bersuara, biadap bersuara dan jalan solution. Mahasiswa kena cerdik ada jalan solution bukan melompat kurang ajar dgn niat nak solution. Adakah budak budak ni hanya nak kutuk kata peguam negara, hakim dan pegawai sprm tak reti buat kerja.",Negative,Neutral,0.22,10/7/2025,,,
C065,V003,@nasirmanap9398,Apa yang disuarakan oleh saudara RAFIZI berhubung dengan karikutor Perdana Menteri yang dibakar oleh para pelajar itu perlu dilihat dengan pandangan yang lebih positif selain kutukan yang membawa kepada kerosakan...,Positive,Positive,0.19,10/7/2025,,,
C066,V003,@ranjorajan6295,Jangan jadikan dahuluan untuk generasi akan datang,Positive,Positive,0.22,10/7/2025,,,
C067,V003,@sugondodiman5322,Ta yah gi safety courses .. klo br Pelajaran sendiri boleh TAU .. ini MAHASiSWA mLAYU2 kn .. Tu laa QUALiTY MELAYU STUDENTSà,Positive,Neutral,0.22,10/7/2025,,,
C068,V003,@SYIAHKAPIR,UMNO DAH KALAH,Negative,Negative,0.22,10/7/2025,,,
C069,V003,@ariffazhan1027,Suka dengar repond dri Rafizi. Tpi semak pulak dgr moderator ni munafik lebih.,Negative,Negative,0.22,10/7/2025,,,
C070,V003,@yamanabdlatib4170,Poodah....,Negative,Negative,0.19,10/7/2025,,,
C071,V003,@JoeNero-e1g,Lol dye ckp ape nie weh.. Nk mmpus agak nye antu gigi nie,Negative,Negative,0.22,10/7/2025,,,
C072,V003,@razak1403,Biasa lah tafizi tidak blh terima dia kalah pd pileh president rafizi nie sebetul mabuk nak.jadi pm...,Negative,Negative,0.19,10/7/2025,,,
C073,V003,@AliasTaib-x5s,Terbaik Cara dia protes,Positive,Neutral,0.19,10/7/2025,,,
C074,V003,@pohhuatteh4052,Tua M punya orang,Negative,Negative,0.19,10/7/2025,,,
C075,V003,@r38865,lps kluar sembang... hahahaha,Negative,Neutral,0.22,10/7/2025,,,
C076,V003,@happyvivoyo2s935,Wajar terhadap seorang individu yang kaki penipu,Negative,Negative,0.19,10/7/2025,,,
C077,V003,@thebaron8195,Budak budak ???,Negative,Neutral,0.22,10/7/2025,,,
C078,V003,@genoqueent6719,Pmx turun,Negative,Negative,0.19,10/7/2025,,,
C079,V004,@nazaruddinrahmatullah3713,Akhirnya... Ada jugak janji yang ditunaikan daripada ratusan janji≤ yang ditabur..,Positive,Positive,1,10/7/2025,,,
C080,V004,@aafif5607,"Man with a strong principle, respect",Positive,Positive,1,10/7/2025,,,
C081,V004,@abubakarmohdhemily4599,Elok la RR kuar....PKR dah jadi parti anak beranakÖ,Positive,Neutral,1,10/7/2025,,,
C082,V004,@hzh00784,RR walk the talk...respect...,Positive,Positive,1,10/7/2025,,,
C083,V004,@ahsengrijin1610,Good just go Rafizi.l salute you for honouring your words that you will resign if you lose.losing does't mean your political career is over.,Positive,Neutral,1,10/7/2025,,,
C084,V004,@mohamadsyafiknordin4414,What happen to the all his formula?,Positive,Neutral,1,10/7/2025,,,
C085,V004,@vikram6969,Submitted only...then akan dipujuk sambung...that's what he wants,Positive,Neutral,1,10/7/2025,,,
C086,V004,@karthigesukarthigesu3548,He had ' Walk the Talk' n honor his words. Wish RR all the best in future.,Positive,Positive,1,10/7/2025,,,
C087,V004,@gkr7019,Salute YB RR. We stand behind you. See you as next PM,Positive,Positive,1,10/7/2025,,,
C088,V004,@SamManekshaw-13,"It's a very sad end for Rafizi as a minister. He deserves better but the leadership has other plans for the party. Rafizi is a technocrat, he is very popular, a great orator, no baggage at all and handsome too. I wish he joins up with MUDA or PSM",Positive,Positive,1,10/7/2025,,,
C089,V004,@ktt2205,"Thank you for your service, this is what a mature politician should be. I do have a lot of respect toward YB RR, especially during Reformasi. Unfortunately it didn't turn out well during his minister post, especially Padu and Petrol Rationalisation implementation. I hope he can still serve with different role.",Positive,Positive,1,10/7/2025,,,
C090,V004,@MrMutalif,"Today, Malaysia bids farewell to one of its most courageous and visionary Cabinet Ministers, YB Rafizi Ramli. His resignation is not a retreatóit is a testament to the kind of leadership that puts principle before position, truth before titles, and the people before politics. Rafizi has long stood as a symbol of integrity, innovation, and the relentless pursuit of justice. He came into government not to seek power, but to return it to the people. Through his tenure, he pushed boundaries, challenged complacency, and dared to imagine a Malaysia where accountability is not optional and reform is not rhetorical. In every word he spoke and every policy he championed, Rafizi reminded us that good governance is not a privilegeóit is a right. Though his seat at the Cabinet table may now be empty, his voice remains with us. His departure must not weaken our hopeóit must strengthen our resolve. Let this moment be a call to action for all Malaysians: to pick up the torch he carried, to demand better, and to build the future he envisioned. Rafizi leaves not in defeat, but with dignity. And in doing so, he challenges each of us to ask ourselves: What will we stand for, when the stakes are high and the cost is real? Thank you, YB Rafizi. Your service has sparked a fire that no resignation can extinguish.",Positive,Neutral,1,10/7/2025,,,
C091,V004,@Redniwsaj_,In politics cannot be kecil hati if you have the Rakyat at heart.,Positive,Positive,1,10/7/2025,,,
C092,V004,@datingdarian4357,"Most people always work for themselve and not for the nation. If Rafizi has the heart of the people, he will and should stay on the job and not resign just because he is been overlook by his boss.",Positive,Positive,1,10/7/2025,,,
C093,V004,@newworldorder9891,"The power seat is a drug. You lll never want to let go. Now, itís reformation keluarga.",Positive,Neutral,1,10/7/2025,,,
C094,V004,@spinkh-d1y,now we see the real face of our PM,Positive,Positive,1,10/7/2025,,,
C095,V004,@wuhanvirus-b1w,At least more responsible than those in the Action Party,Positive,Positive,1,10/7/2025,,,
C096,V004,@jematlihi4582,"He honoured his words. Itu yang sepatutnya. Jaga integriti. Thats fine. Proses dlm party yang telah menentukan. Samada orang yang dipilih oleh ahli2 yang memilih betul2 berkebolehan, soal kedua sbb sistem pemilihan dan budaya dlm party yang menentukan. Sebagai pemerhati lama, pemilihan PKR ini mengambarkan PKR party yang baru belajar mengurus kejayaan sbg Kerajaan, tidaklah berdisplin dan etika sangat. Mungkin petanda cepat turun, walaupun sgt singkat memimpin.",Positive,Neutral,1,10/7/2025,,,
C097,V004,@zafir7007,"You are a man of principles. This is the true essence of PKR.... Which is sadly turning into another UMNO/BN. Anwar, now that RR is gone, you can award projects to loyal cronies.",Positive,Positive,1,10/7/2025,,,
C098,V004,@brads156,best new ever,Positive,Positive,1,10/7/2025,,,
C099,V004,@mawda2253,A gentleman,Positive,Positive,1,10/7/2025,,,
C100,V004,@james8708,Rafizi...Malaysians are praying that one day you will be the PM,Positive,Positive,1,10/7/2025,,,
C101,V004,@nocomfortzone69,"At least he walk the talk, unlike some tin kosong. At least hes not leaving for now.",Positive,Positive,1,10/7/2025,,,
C102,V004,@bole-56,At least you won't be blamed on if the country economy turns worse soon,Negative,Neutral,1,10/7/2025,,,
C103,V004,@dominicarok4360,I dont know that there is such rule. His govt is still hvg the mandate until parliament is dissolved (for next GE).,Positive,Neutral,1,10/7/2025,,,
C104,V004,@CosterTer,Solute..,Positive,Positive,1,10/7/2025,,,
C105,V004,@kelvin-t7y,"yea, you should've done that ages ago minister formula.",Positive,Positive,1,10/7/2025,,,
C106,V004,@MimiLala-j1k,Selesaikan dulu formula2 jangan undur diri. Kami mengharapkan formula anda,Positive,Positive,1,10/7/2025,,,
C107,V004,@hanafitalib,Good boy!,Positive,Positive,1,10/7/2025,,,
C108,V004,@al-paciyes5722,Finally....he realizes that he's merely a lackey to the family,Positive,Positive,1,10/7/2025,,,
C109,V004,@kimmy877,"Good, man of your wordÖ.thatís what Malaysia needs. Now leave PKR. You are too good for that party. Form your own party which ALL Malaysians can identify with and be brave to bring all the promised reformations to reality. In particular, fight rasuah as much as possible, end the racist educational quota and replace it with merit-based system, revamp the entire educational system once and for all, remove all tongkats as it breeds laziness and stupidity, make English language compulsory as second language and make the appointments of officials in the judiciary, police, MACC truly independent and democratic. Maybe, just maybe, there will be hope for Malaysia and for Malaysians.",Positive,Neutral,1,10/7/2025,,,
C110,V004,@phdtikus5987,Good riddance to BAD RUBBISH,Negative,Negative,1,10/7/2025,,,
C111,V004,@mohdfaudzeebinhamid8670,Good,Positive,Positive,1,10/7/2025,,,
C112,V004,@msah.fitribahari9022,"Jaga sikit Air muka Bos, nak resign janganlah komplen bos tak bagi buat kerjalah tak terima keputusan lah. Mengate Bos macam2..",Negative,Negative,1,10/7/2025,,,
C113,V004,@nuradibah6009,face-blue-smilingface-blue-smilingface-blue-smilingface-blue-smilingface-blue-smilingface-blue-smilingface-blue-smilingface-blue-smiling,Positive,Neutral,1,10/7/2025,,,
C114,V004,@regista5798,Then PADU going padulik sma diaÖ??????,Positive,Positive,1,10/7/2025,,,
C115,V004,@baharuddin443,"BAGUSLAH RAFIZI LTK JAWATAN... APA XNYA TLH KALAH LAWAN IZZAH, DGN MAJORITI 6K DAN TLH MERENDAH2KAN KREDIBILITI JK PEMILIHAN DAN KEUPAYAAN PIMPINAN BAWAHAN NYA YG MENANG PD PEMILIHAN BARU LALU",Positive,Neutral,1,10/7/2025,,,
C116,V004,@mohammadamir4486,when will ee get cheap car then ??,Positive,Positive,1,10/7/2025,,,
C117,V004,@masbro_462,Kena gigit dgn papa.hahahaha,Negative,Neutral,1,10/7/2025,,,
C118,V004,@Kaiiooo-ed3dq,"All i see just a man-child throwing tantrum. If i didnt get to be CEO, I quit the job. Let's not talk about being ""principled"" when your performance revolves around ""position"". Which pretty clear to me, you seek nothing but power. Matter of fact, there shouldn't be any ""resignation bet"" in the first place if you're genuine to your service.",Positive,Positive,1,10/7/2025,,,
C119,V004,@sese1038,Is this political blackmail?,Negative,Neutral,1,10/7/2025,,,
C120,V004,@azrulshahrezan441,"Ejah naek gaji r boh, tekanan hidup tinggi nie. Die perform.",Negative,Neutral,1,10/7/2025,,,
C121,V005,@fyoutubesoa,"Its rare to have a Malaysian Minister to talk economy that make sense. Besides being well informed on the subject matter, his language fluency too reflects well about Malaysia preparedness on handling the country's economy.",Positive,Positive,8,10/7/2025,,,
C122,V005,@m.nazran2087,When u put the right person in the portfolio,Positive,Positive,8,10/7/2025,,,
C123,V005,@aren3130,We are very lucky to have such a genius Minister like Rafizi.His vision slowly became reality since held the Post as Economic Minister.He always make me proud as his supporter.Our future PM.‚ù,Positive,Positive,8,10/7/2025,,,
C124,V005,@Gdftgu,Malaysian minister is awesome,Positive,Positive,8,10/7/2025,,,
C125,V005,@kalldagreat,"If we put aside political party ideology, this guy is one of the most competent person to be the future prime minister of Malaysia, also one that can represent Malaysia in the world stage.",Positive,Positive,8,10/7/2025,,,
C126,V005,@raymondmainamugure204,I wish that my native Kenya would adopt this kind of seriousness.,Positive,Neutral,8,10/7/2025,,,
C127,V005,@shaunheng904,"Sorting out the top 15% of income earners is pretty good.  These groups involve most politicians, corporate entrepreneurs and elites.  They are the policymakers who have shaped business policies for decades and trapped the majority of the Malaysian working class. We are now in a middle-income trap economy. And trying to break through to accommodate high earners. A little later than not. Well done to the Mandani government.",Positive,Positive,8,10/7/2025,,,
C128,V005,@moiramaine8986,my favorite minister,Positive,Positive,8,10/7/2025,,,
C129,V005,@-TheOracle-,Malaysia is a wonderful place for companies to move from out of unstable China due to Xi Jinping and his threats to repatriate Taiwan. Such a beautiful country as well.,Positive,Positive,8,10/7/2025,,,
